pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp,habitability_score
GJ 317 b,13.3,794.5,1.151,0.07,0.04801451168636415,0.42,1,2,1.86,3492.73,0.43,1380.7692054051931,0.2662964835405186
GJ 317 c,13.5,522.5,5.23,0.17,0.04801451168636415,0.42,1,2,1.17,3492.73,0.43,647.7507283788497,0.22739274611048624
GJ 3222 b,3.4,11.44182,0.091,0.929,0.6650664244684812,0.89,2,1,1.6,5257.46,0.93,10870.668882163098,0.21369949793605061
GJ 328 b,13.3,797.7493,4.11,0.227,0.22140975341264896,0.65,1,2,1.86,3897.0,0.63,986.8230424106863,0.2527526581837375
GJ 3293 b,5.19,23.54,0.14339,0.06,0.04801451168636415,0.42,1,4,0.925,3466.0,0.4,3744.1965075138787,0.2659027239463214
GJ 3293 c,4.87,21.09,0.36175,0.11,0.04801451168636415,0.42,1,4,1.0,3466.0,0.4,2357.2942470898893,0.3536543561313541
GJ 3293 d,2.67,7.6,0.19394,0.12,0.04801451168636415,0.42,1,4,2.19,3466.0,0.4,3219.469911171533,0.3011537325003817
GJ 3293 e,1.63,3.28,0.08208,0.21,0.04801451168636415,0.42,1,4,4.16,3466.0,0.4,4948.7941847816255,0.40458931576519475
GJ 3323 b,1.23,2.02,0.03282,0.23,0.0016384000000000001,0.16,1,2,5.96,3159.0,0.12,3906.8836045555263,0.45139355840718653
GJ 3323 c,1.32,2.31,0.1264,0.17,0.0016384000000000001,0.16,1,2,5.52,3159.0,0.12,1990.7935460114045,0.4494002644191534
GJ 3341 b,2.46,6.6,0.089,0.31,0.07117746275774374,0.47,1,1,2.44,3526.0,0.44,5070.7611589295975,0.2743460136399517
GJ 338 B b,3.25,10.6,0.142,0.109,0.20971520000000002,0.64,2,1,1.7,4014.0,0.58,5246.947332843424,0.2704249491774853
GJ 3470 b,4.57,13.9,0.0355,0.017,0.08838834764831845,0.5,1,1,0.8,3652.0,0.5,8864.6400697996,0.2939136129132996
GJ 3473 b,1.264,1.86,0.01589,0.0,0.027993599999999997,0.36,2,2,5.03,3347.0,0.36,10303.96859400508,0.5011276887931729
GJ 3473 c,2.63,7.41,0.0876,0.0,0.027993599999999997,0.36,2,2,2.24,3347.0,0.36,4388.483015082657,0.31039377874563223
GJ 3512 b,14.3,146.20107,0.337,0.44,0.000598596759095804,0.12,1,2,0.275,3081.0,0.14,1284.3999438012393,0.15494663056632318
GJ 3512 c,9.32,63.56568,1.292,0.0183,0.000598596759095804,0.12,1,2,0.431,3081.0,0.14,655.9699903404123,0.23768114009459868
GJ 3634 b,2.83,8.4,0.0287,0.08,0.06112850833490051,0.45,1,1,2.04,3517.0,0.43,8804.914840565343,0.2959894955731036
GJ 367 b,0.699,0.633,0.00709,0.06,0.06601648712374812,0.46,1,3,10.2,3522.0,0.46,18348.67304531314,0.38933180088380803
GJ 3779 b,2.75,8.0,0.026,0.07,0.010227586813613465,0.27,1,1,2.11,3324.0,0.28,7055.257498072492,0.28140351388227597
GJ 3929 b,1.09,1.75,0.0252,0.0,0.016586926813306917,0.31,1,2,7.3,3384.0,0.32,7799.460901522189,0.5170320545166139
GJ 3929 c,2.26,5.71,0.081,0.0,0.016586926813306917,0.31,1,2,2.72,3384.0,0.32,4350.331443212694,0.3553364294582366
GJ 3942 b,2.57,7.14,0.0608,0.121,0.1984686534233303,0.63,1,1,2.31,3867.0,0.61,7922.2184225201,0.317701389189989
GJ 3988 b,1.74,3.69,0.0405,0.0,0.0024743080487279667,0.18,1,1,3.85,3273.0,0.2,4704.278272766435,0.4151809143611061
GJ 3998 b,1.38,2.47,0.029,0.0,0.08838834764831845,0.5,1,2,5.16,3722.0,0.49,9895.43572067951,0.5325117163441737
GJ 3998 c,2.38,6.26,0.089,0.049,0.08838834764831845,0.5,1,2,2.55,3722.0,0.49,5648.575235452912,0.34653348056163047
GJ 411 b,1.45,2.69,0.07879,0.063,0.03704470362669946,0.39,1,2,4.85,3719.0,0.37,5212.559223425445,0.48039254661066344
GJ 414 A b,2.63,7.6,0.2324,0.45,0.22140975341264896,0.65,2,2,2.3,4120.0,0.68,4558.197333170641,0.25365676656624814
GJ 414 A c,8.4,53.83,1.4,0.105,0.22140975341264896,0.65,2,2,0.499,4120.0,0.68,1857.150787111422,0.23857100850074583
GJ 422 b,3.33,11.07,0.111,0.11,0.025365192070039597,0.35,1,1,1.65,3323.0,0.37,3924.0020544800072,0.2615754926162069
