pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
Kepler-79 c,3.72,5.9,0.187,0.03,0.342,1.17,1,4,0.62,6174.0,1.3,10528.754763896117
Kepler-79 d,7.16,6.0,0.287,0.025,0.342,1.17,1,4,0.09,6174.0,1.3,8498.785438176788
Kepler-79 e,3.49,4.1,0.386,0.012,0.342,1.17,1,4,0.53,6174.0,1.3,7328.315546339713
Kepler-790 b,2.18,5.39,0.101,0.0,0.5432221889406211,0.84,1,1,2.86,5208.0,0.8,9480.14094767818
Kepler-791 b,3.05,9.53,0.1256,0.0,0.403,1.3,1,1,1.85,6383.0,1.47,14123.690896993676
Kepler-792 b,1.96,4.5,0.0988,0.0,0.274,1.09,1,1,3.28,5971.0,1.12,13002.80717992545
Kepler-793 b,1.37,2.45,0.0491,0.0,0.11,0.98,1,1,5.24,5745.0,0.97,16515.611801939503
Kepler-794 b,2.11,5.1,0.10036,0.0,0.506,1.19,1,1,2.98,5839.0,1.38,14004.164523751275
Kepler-795 b,1.68,3.46,0.1803,0.0,0.8052810653384567,0.94,2,1,4.01,5631.0,0.96,8403.93708916364
Kepler-796 b,1.3,2.24,0.07317,0.0,0.572,0.93,1,1,5.6,5475.0,1.09,13667.54011163627
Kepler-797 b,2.17,5.35,0.181,0.0,0.47,0.96,1,1,2.88,5680.0,0.95,8416.477429130082
Kepler-798 b,2.39,6.3,0.1174,0.0,0.222,1.19,1,1,2.54,6224.0,1.29,13344.11889524815
Kepler-799 b,6.88,37.9,0.5167,0.0,0.8356657801380584,0.95,1,2,0.64,5681.0,0.93,4929.541702289513
Kepler-799 c,2.781,8.15,0.1214,0.0,1.1089967833248526,1.03,1,2,2.08,5588.0,1.59,13079.92122456966
Kepler-8 b,15.872,187.5197,0.0474,0.0,0.605,1.21,1,1,0.27,6213.0,1.49,22530.188700624654
Kepler-80 b,2.67,6.93,0.0648,0.0049,0.332376270499219,0.73,1,6,1.38,4540.0,0.68,9512.229468411266
Kepler-80 c,2.74,6.74,0.0792,0.0079,0.332376270499219,0.73,1,6,1.22,4540.0,0.68,8604.13529085872
Kepler-80 d,1.53,6.75,0.0372,0.0041,0.332376270499219,0.73,1,6,7.04,4540.0,0.68,12554.469080672518
Kepler-80 e,1.6,4.13,0.0491,0.0035,0.332376270499219,0.73,1,6,3.75,4540.0,0.68,10927.707839946137
Kepler-80 f,1.21,1.92,0.0175,0.186,0.332376270499219,0.73,1,6,5.96,4540.0,0.68,18304.201879801596
